id;title;logo;logo_content_type;description;ideatype;interest;distribution;investment;active
1;mobile Fish;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL1;0;1;33370;true
2;alarm;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL9;0;0;18182;true
3;Money Market Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL3;1;1;39986;false
4;zero administration;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL6;0;0;51423;true
5;Canyon HDD;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL8;0;0;1596;false
6;Nakfa;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL8;0;0;90932;false
7;Tuna;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL2;0;1;84228;true
8;Markets Chief;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL6;0;1;4522;true
9;navigating;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL3;1;1;27599;false
10;back-end;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL4;1;0;19871;false
