id;title;description;date;value
1;mobile Fish;Home Loan Account Table Computer;2019-12-31;45924
2;seamless Metal deposit;Producer;2019-12-30;93855
3;Electronics;Soap methodology Albania;2019-12-31;2306
4;Namibia;Steel zero administration;2019-12-31;23277
5;Licensed Savings Account;Cambridgeshire Mississippi;2019-12-31;85994
6;Yuan Renminbi Centers;Factors;2019-12-30;56328
7;envisioneer Music Public-key;infomediaries;2019-12-31;60999
8;backing up Salad;Digitized invoice;2019-12-31;42515
9;sky blue Georgia;Facilitator;2019-12-30;44975
10;e-enable Communications capacitor;Awesome;2019-12-31;52083
