id;title;description;date;value
1;Tactics;scale interactive generating;2019-12-31;96525
2;Home Loan Account;Plastic;2019-12-30;16526
3;Industrial;index orange;2019-12-31;1407
4;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;2019-12-30;85003
5;Highway Ergonomic;moratorium moratorium;2019-12-30;59129
6;tangible Mississippi;Frozen bus;2019-12-30;72172
7;Robust Networked;Poland;2019-12-31;11089
8;partnerships;Outdoors;2019-12-30;47537
9;Montana;Corporate Phased relationships;2019-12-30;20306
10;Brand;neutral Salad;2019-12-30;62435
