id;jobtitle;jobdescription;date;cost_hour;hours;total
1;Re-contextualized;../fake-data/blob/hipster.txt;2019-12-15;36778;47030;63230
2;withdrawal Solomon Islands Licensed;../fake-data/blob/hipster.txt;2019-12-15;15071;32078;50819
3;Argentine Peso;../fake-data/blob/hipster.txt;2019-12-15;59089;32595;67756
4;Clothing;../fake-data/blob/hipster.txt;2019-12-16;80950;22649;34866
5;Rustic Quality;../fake-data/blob/hipster.txt;2019-12-16;38673;51775;93672
6;Metal bricks-and-clicks Concrete;../fake-data/blob/hipster.txt;2019-12-15;54144;87733;69578
7;Profound;../fake-data/blob/hipster.txt;2019-12-16;81722;98216;55520
8;Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.txt;2019-12-16;96541;89721;55829
9;THX pink even-keeled;../fake-data/blob/hipster.txt;2019-12-15;72595;84666;89711
10;AI optical invoice;../fake-data/blob/hipster.txt;2019-12-16;93563;16162;78534
